row	family	params	carrier	laws_satisfied
109	linear/Z_m	m=8 a=3 b=2	finite:8	62
110	linear/Z_m	m=8 a=3 b=3	finite:8	62
111	linear/Z_m	m=8 a=3 b=5	finite:8	50
112	linear/Z_m	m=8 a=3 b=6	finite:8	122
113	linear/Z_m	m=8 a=3 b=7	finite:8	67
114	linear/Z_m	m=8 a=4 b=2	finite:8	48
115	linear/Z_m	m=8 a=5 b=1	finite:8	28
116	linear/Z_m	m=8 a=5 b=3	finite:8	50
117	linear/Z_m	m=8 a=5 b=7	finite:8	63
118	linear/Z_m	m=8 a=7 b=3	finite:8	67
119	linear/Z_m	m=8 a=7 b=5	finite:8	63
120	linear/Z_m	m=9 a=1 b=2	finite:9	11
121	linear/Z_m	m=9 a=1 b=3	finite:9	61
122	linear/Z_m	m=9 a=1 b=4	finite:9	6
123	linear/Z_m	m=9 a=1 b=5	finite:9	10
124	linear/Z_m	m=9 a=1 b=7	finite:9	7
125	linear/Z_m	m=9 a=2 b=1	finite:9	11
126	linear/Z_m	m=9 a=2 b=2	finite:9	68
127	linear/Z_m	m=9 a=2 b=3	finite:9	31
128	linear/Z_m	m=9 a=2 b=4	finite:9	23
129	linear/Z_m	m=9 a=2 b=5	finite:9	123
130	linear/Z_m	m=9 a=2 b=6	finite:9	31
131	linear/Z_m	m=9 a=2 b=7	finite:9	18
132	linear/Z_m	m=9 a=2 b=8	finite:9	109
133	linear/Z_m	m=9 a=3 b=1	finite:9	61
134	linear/Z_m	m=9 a=3 b=2	finite:9	31
135	linear/Z_m	m=9 a=3 b=3	finite:9	108
136	linear/Z_m	m=9 a=3 b=5	finite:9	31
137	linear/Z_m	m=9 a=3 b=6	finite:9	108
138	linear/Z_m	m=9 a=3 b=7	finite:9	216
139	linear/Z_m	m=9 a=3 b=8	finite:9	87
140	linear/Z_m	m=9 a=4 b=1	finite:9	6
141	linear/Z_m	m=9 a=4 b=2	finite:9	23
142	linear/Z_m	m=9 a=4 b=5	finite:9	20
143	linear/Z_m	m=9 a=4 b=6	finite:9	216
144	linear/Z_m	m=9 a=4 b=7	finite:9	7
145	linear/Z_m	m=9 a=4 b=8	finite:9	44
146	linear/Z_m	m=9 a=5 b=1	finite:9	10
147	linear/Z_m	m=9 a=5 b=2	finite:9	123
148	linear/Z_m	m=9 a=5 b=4	finite:9	20
149	linear/Z_m	m=9 a=5 b=5	finite:9	80
150	linear/Z_m	m=9 a=5 b=7	finite:9	23
151	linear/Z_m	m=9 a=5 b=8	finite:9	84
152	linear/Z_m	m=9 a=7 b=1	finite:9	7
153	linear/Z_m	m=9 a=7 b=2	finite:9	18
154	linear/Z_m	m=9 a=7 b=4	finite:9	7
155	linear/Z_m	m=9 a=7 b=5	finite:9	23
156	linear/Z_m	m=9 a=7 b=7	finite:9	14
157	linear/Z_m	m=9 a=7 b=8	finite:9	41
158	linear/Z_m	m=9 a=8 b=2	finite:9	109
159	linear/Z_m	m=9 a=8 b=3	finite:9	87
160	linear/Z_m	m=9 a=8 b=4	finite:9	44
161	linear/Z_m	m=9 a=8 b=5	finite:9	84
162	linear/Z_m	m=9 a=8 b=7	finite:9	41
163	linear/Z_m	m=10 a=1 b=2	finite:10	16
164	linear/Z_m	m=10 a=1 b=3	finite:10	18
165	linear/Z_m	m=10 a=1 b=4	finite:10	79
166	linear/Z_m	m=10 a=1 b=6	finite:10	13
167	linear/Z_m	m=10 a=1 b=7	finite:10	22
168	linear/Z_m	m=10 a=1 b=8	finite:10	14
169	linear/Z_m	m=10 a=2 b=1	finite:10	16
170	linear/Z_m	m=10 a=2 b=2	finite:10	17
171	linear/Z_m	m=10 a=2 b=3	finite:10	25
172	linear/Z_m	m=10 a=2 b=4	finite:10	55
173	linear/Z_m	m=10 a=2 b=5	finite:10	63
174	linear/Z_m	m=10 a=2 b=6	finite:10	7
175	linear/Z_m	m=10 a=2 b=7	finite:10	37
176	linear/Z_m	m=10 a=2 b=8	finite:10	17
177	linear/Z_m	m=10 a=2 b=9	finite:10	104
178	linear/Z_m	m=10 a=3 b=1	finite:10	18
179	linear/Z_m	m=10 a=3 b=2	finite:10	25
180	linear/Z_m	m=10 a=3 b=3	finite:10	115
181	linear/Z_m	m=10 a=3 b=4	finite:10	33
182	linear/Z_m	m=10 a=3 b=5	finite:10	42
183	linear/Z_m	m=10 a=3 b=6	finite:10	12
184	linear/Z_m	m=10 a=3 b=7	finite:10	46
185	linear/Z_m	m=10 a=3 b=8	finite:10	82
186	linear/Z_m	m=10 a=3 b=9	finite:10	71
187	linear/Z_m	m=10 a=4 b=1	finite:10	79
188	linear/Z_m	m=10 a=4 b=2	finite:10	55
189	linear/Z_m	m=10 a=4 b=3	finite:10	33
190	linear/Z_m	m=10 a=4 b=4	finite:10	96
191	linear/Z_m	m=10 a=4 b=6	finite:10	64
192	linear/Z_m	m=10 a=4 b=7	finite:10	82
193	linear/Z_m	m=10 a=4 b=8	finite:10	25
194	linear/Z_m	m=10 a=4 b=9	finite:10	112
195	linear/Z_m	m=10 a=5 b=2	finite:10	63
196	linear/Z_m	m=10 a=5 b=3	finite:10	42
197	linear/Z_m	m=10 a=6 b=1	finite:10	13
198	linear/Z_m	m=10 a=6 b=2	finite:10	7
199	linear/Z_m	m=10 a=6 b=3	finite:10	12
200	linear/Z_m	m=10 a=6 b=4	finite:10	64
201	linear/Z_m	m=10 a=6 b=7	finite:10	18
