set	from	to	smallest_witness
unresolved	1112	8	none
unresolved	1112	411	none
unresolved	1112	1832	none
unresolved	1112	3253	none
unresolved	1112	3319	none
unresolved	1112	3862	none
unresolved	1112	3915	none
unresolved	1117	2441	infinite
unresolved	1117	2444	infinite
unresolved	1117	2530	infinite
unresolved	1117	2534	infinite
unresolved	1117	2538	infinite
unresolved	1133	1035	none
unresolved	1133	1055	none
unresolved	1133	1085	none
unresolved	1133	1096	none
unresolved	1133	1150	none
unresolved	1133	1167	none
unresolved	1133	1202	none
unresolved	1133	1634	none
unresolved	1133	1657	none
unresolved	1133	1668	none
unresolved	1133	1681	none
unresolved	1133	1701	none
unresolved	1133	1721	none
unresolved	1133	1742	none
unresolved	1133	1763	none
unresolved	1133	1797	none
unresolved	1133	1816	none
unresolved	1133	1860	none
unresolved	1133	1875	none
unresolved	1133	1884	none
unresolved	1133	1912	none
unresolved	1133	1958	none
unresolved	1133	2000	none
unresolved	1133	2024	none
unresolved	1133	3877	none
unresolved	1133	3897	none
unresolved	1133	3952	none
unresolved	1133	3972	none
unresolved	1133	3989	none
unresolved	1133	4006	none
unresolved	1133	4040	none
unresolved	1133	4587	none
unresolved	1133	4606	none
unresolved	1133	4615	none
unresolved	1133	4645	none
unresolved	1133	4666	none
unresolved	1133	4689	none
unresolved	1167	1025	none
unresolved	1167	1055	none
unresolved	1167	1096	none
unresolved	1167	1112	none
unresolved	1167	1133	none
unresolved	1167	1150	none
unresolved	1167	1202	none
unresolved	1167	1634	none
unresolved	1167	1657	none
unresolved	1167	1668	none
unresolved	1167	1681	none
unresolved	1167	1701	none
unresolved	1167	1721	none
unresolved	1167	1742	none
unresolved	1167	1763	none
unresolved	1167	1797	none
unresolved	1167	1816	none
unresolved	1167	1847	none
unresolved	1167	1875	none
unresolved	1167	1897	none
unresolved	1167	1912	none
unresolved	1167	1958	none
unresolved	1167	1979	none
unresolved	1167	2024	none
unresolved	1167	3867	none
unresolved	1167	3897	none
unresolved	1167	3925	none
unresolved	1167	3935	none
unresolved	1167	3972	none
unresolved	1167	4006	none
unresolved	1167	4040	none
unresolved	1167	4587	none
unresolved	1167	4606	none
unresolved	1167	4615	none
unresolved	1167	4645	none
unresolved	1167	4666	none
unresolved	1167	4689	none
unresolved	1286	3	11
unresolved	1286	8	11
unresolved	1286	23	11
unresolved	1286	47	11
unresolved	1286	99	11
unresolved	1286	151	11
unresolved	1286	203	11
unresolved	1286	255	11
unresolved	1286	307	11
unresolved	1286	326	11
unresolved	1286	359	11
unresolved	1286	375	11
unresolved	1286	411	11
unresolved	1286	614	11
unresolved	1286	817	11
unresolved	1286	1020	11
unresolved	1286	1083	11
unresolved	1286	1426	11
unresolved	1286	1629	11
unresolved	1286	1832	11
unresolved	1286	2035	11
unresolved	1286	2238	11
unresolved	1286	2301	11
unresolved	1286	2441	11
unresolved	1286	2504	11
unresolved	1286	2644	11
unresolved	1286	2847	11
unresolved	1286	3050	11
unresolved	1286	3253	11
unresolved	1286	3319	11
unresolved	1286	3456	11
unresolved	1286	3522	11
unresolved	1286	3659	11
unresolved	1286	3715	11
unresolved	1286	3722	11
unresolved	1286	3862	11
unresolved	1286	3915	11
unresolved	1286	4065	11
unresolved	1286	4118	11
unresolved	1286	4380	11
unresolved	1286	4435	11
unresolved	1286	4470	11
unresolved	1289	513	11
unresolved	1289	2507	none
unresolved	1289	2913	none
unresolved	1289	4435	none
unresolved	1323	2744	none
unresolved	1437	4269	none
unresolved	1437	4316	none
unresolved	1447	1431	none
unresolved	1447	4269	none
unresolved	1447	4316	none
unresolved	1485	151	32
unresolved	1485	152	32
unresolved	1485	166	32
unresolved	1485	1427	32
unresolved	1485	1429	32
unresolved	1485	1430	32
unresolved	1485	1481	32
unresolved	1485	1483	32
unresolved	1485	2051	32
unresolved	1485	2087	32
unresolved	1485	2124	32
unresolved	1485	2161	32
unresolved	1485	2163	32
unresolved	1485	3456	32
unresolved	1485	3457	32
unresolved	1485	3511	32
unresolved	1485	3862	32
unresolved	1485	3877	32
unresolved	1485	3955	32
unresolved	1491	65	none
unresolved	1516	255	none
unresolved	1516	1489	none
unresolved	1518	47	none
unresolved	1518	614	none
unresolved	1518	817	none
unresolved	1518	3862	none
unresolved	1526	1223	none
unresolved	1526	1323	none
unresolved	1526	2744	none
unresolved	1648	23	none
unresolved	1648	151	none
unresolved	1648	203	none
unresolved	1648	206	none
unresolved	1648	307	none
unresolved	1648	1426	none
unresolved	1648	1832	none
unresolved	1648	2238	none
unresolved	1648	2441	none
unresolved	1648	3050	none
unresolved	1648	3253	none
unresolved	1648	3456	none
unresolved	1648	3522	none
unresolved	1648	4065	none
unresolved	1648	4118	none
unresolved	1659	1631	none
unresolved	1659	1633	none
unresolved	1659	1655	none
unresolved	1659	1656	none
unresolved	1659	1660	none
unresolved	1659	1661	none
unresolved	1659	1663	none
unresolved	1659	1833	none
unresolved	1659	1837	none
unresolved	1659	1839	none
unresolved	1659	1851	none
unresolved	1659	1852	none
unresolved	1659	1860	none
unresolved	1659	1862	none
unresolved	1659	1871	none
unresolved	1659	1872	none
unresolved	1659	1874	none
unresolved	1659	2446	none
unresolved	1659	2452	none
unresolved	1659	2460	none
unresolved	1659	2463	none
unresolved	1659	2477	none
unresolved	1659	2481	none
unresolved	1659	2489	none
unresolved	1659	3458	none
unresolved	1659	3460	none
unresolved	1659	3519	none
unresolved	1659	3520	none
unresolved	1659	3524	none
unresolved	1659	3525	none
unresolved	1659	3527	none
unresolved	1659	4268	none
unresolved	1659	4282	none
unresolved	1659	4314	none
unresolved	1659	4315	none
unresolved	1659	4339	none
unresolved	1659	4357	none
unresolved	1661	1630	none
unresolved	1661	1633	none
unresolved	1661	1656	none
unresolved	1661	1657	none
unresolved	1661	1659	none
unresolved	1661	1660	none
unresolved	1661	1663	none
unresolved	1661	1833	none
unresolved	1661	1837	none
unresolved	1661	1839	none
unresolved	1661	1851	none
unresolved	1661	1852	none
unresolved	1661	1860	none
unresolved	1661	1862	none
unresolved	1661	1871	none
unresolved	1661	1872	none
unresolved	1661	1874	none
unresolved	1661	2443	none
unresolved	1661	2452	none
unresolved	1661	2463	none
unresolved	1661	2467	none
unresolved	1661	2473	none
unresolved	1661	2477	none
unresolved	1661	2489	none
unresolved	1661	3457	none
unresolved	1661	3460	none
unresolved	1661	3520	none
unresolved	1661	3521	none
unresolved	1661	3523	none
unresolved	1661	3524	none
unresolved	1661	3527	none
unresolved	1661	4268	none
unresolved	1661	4282	none
unresolved	1661	4314	none
unresolved	1661	4315	none
unresolved	1661	4339	none
unresolved	1661	4357	none
unresolved	1692	23	none
unresolved	1692	47	none
unresolved	1692	63	none
unresolved	1692	1832	none
unresolved	1692	1922	none
unresolved	1692	2441	none
unresolved	1692	3050	none
unresolved	1692	3456	none
unresolved	1692	3522	none
unresolved	1692	4065	none
unresolved	1692	4118	none
unresolved	1701	411	none
unresolved	1701	1884	none
unresolved	1701	3253	none
unresolved	1701	3319	none
unresolved	1701	3877	none
unresolved	1701	3915	none
unresolved	1722	1832	none
unresolved	1722	2644	none
unresolved	1722	2737	none
unresolved	1722	3050	none
unresolved	1722	3143	none
unresolved	1729	817	none
unresolved	1729	917	none
unresolved	1839	1630	none
unresolved	1839	2441	none
unresolved	1839	2443	none
unresolved	1839	3456	none
unresolved	1839	3457	none
unresolved	1839	3522	none
unresolved	1839	4065	none
unresolved	1839	4118	none
unresolved	1839	4268	none
unresolved	1839	4282	none
unresolved	1895	8	none
unresolved	1895	255	none
unresolved	1895	271	none
unresolved	1895	411	none
unresolved	1895	1020	none
unresolved	1895	1629	none
unresolved	1895	1685	none
unresolved	1895	3253	none
unresolved	1895	3319	none
unresolved	1895	3862	none
unresolved	1895	3915	none
unresolved	1898	2644	none
unresolved	1898	2710	none
unresolved	1924	8	none
unresolved	1924	99	none
unresolved	1924	124	none
unresolved	1924	151	none
unresolved	1924	359	none
unresolved	1924	411	none
unresolved	1924	1020	none
unresolved	1924	1223	none
unresolved	1924	1629	none
unresolved	1924	2035	none
unresolved	1924	3253	none
unresolved	1924	3319	none
unresolved	1924	3862	none
unresolved	1924	3915	none
unresolved	1924	4065	none
unresolved	1925	411	none
unresolved	1925	504	none
unresolved	1925	817	none
unresolved	1925	910	none
unresolved	1925	1629	none
unresolved	1979	1035	none
unresolved	1979	1055	none
unresolved	1979	1085	none
unresolved	1979	1096	none
unresolved	1979	1150	none
unresolved	1979	1167	none
unresolved	1979	1202	none
unresolved	1979	1634	none
unresolved	1979	1657	none
unresolved	1979	1668	none
unresolved	1979	1681	none
unresolved	1979	1701	none
unresolved	1979	1721	none
unresolved	1979	1742	none
unresolved	1979	1763	none
unresolved	1979	1797	none
unresolved	1979	1816	none
unresolved	1979	1860	none
unresolved	1979	1875	none
unresolved	1979	1884	none
unresolved	1979	1912	none
unresolved	1979	1958	none
unresolved	1979	2000	none
unresolved	1979	2024	none
unresolved	1979	3877	none
unresolved	1979	3897	none
