set	from	to	smallest_witness
saturation_refuted	168	4357	none
saturation_refuted	168	4615	none
saturation_refuted	168	4645	none
saturation_refuted	168	4666	none
saturation_refuted	168	4689	none
saturation_refuted	219	880	none
saturation_refuted	219	4588	none
saturation_refuted	219	4647	none
saturation_refuted	229	125	none
saturation_refuted	467	429	7
saturation_refuted	467	473	7
saturation_refuted	467	513	7
saturation_refuted	467	562	7
saturation_refuted	467	2847	none
saturation_refuted	467	4343	7
saturation_refuted	477	1426	none
saturation_refuted	477	1492	none
saturation_refuted	477	1519	none
saturation_refuted	477	2035	none
saturation_refuted	477	2128	none
saturation_refuted	477	2135	none
saturation_refuted	477	3050	none
saturation_refuted	477	3150	none
saturation_refuted	481	1488	none
saturation_refuted	481	1492	none
saturation_refuted	481	1496	none
saturation_refuted	481	2035	none
saturation_refuted	481	2038	none
saturation_refuted	481	2041	none
saturation_refuted	481	2124	none
saturation_refuted	481	2128	none
saturation_refuted	481	2132	none
saturation_refuted	481	2135	none
saturation_refuted	481	2146	none
saturation_refuted	481	3050	none
saturation_refuted	481	3056	none
saturation_refuted	481	3139	none
saturation_refuted	481	3150	none
saturation_refuted	481	3161	none
saturation_refuted	504	513	7
saturation_refuted	504	817	none
saturation_refuted	504	910	none
saturation_refuted	504	1629	none
saturation_refuted	504	1832	none
saturation_refuted	504	1861	7
saturation_refuted	504	1925	none
saturation_refuted	680	477	9
saturation_refuted	680	1492	9
saturation_refuted	680	1519	9
saturation_refuted	680	1629	none
saturation_refuted	680	1695	none
saturation_refuted	680	1832	none
saturation_refuted	680	1932	none
saturation_refuted	680	2035	9
saturation_refuted	680	2128	9
saturation_refuted	680	2135	9
saturation_refuted	680	2847	none
saturation_refuted	680	2947	none
saturation_refuted	680	3050	9
saturation_refuted	680	3150	9
saturation_refuted	704	203	11
saturation_refuted	704	817	11
saturation_refuted	704	826	7
saturation_refuted	704	833	7
saturation_refuted	704	1426	11
saturation_refuted	704	3050	11
saturation_refuted	704	3079	7
saturation_refuted	707	2940	none
saturation_refuted	713	1426	none
saturation_refuted	873	880	none
saturation_refuted	873	4588	none
saturation_refuted	873	4647	none
saturation_refuted	883	2101	none
saturation_refuted	883	2238	none
saturation_refuted	906	3862	none
saturation_refuted	907	614	11
saturation_refuted	907	1426	11
saturation_refuted	1085	411	7
saturation_refuted	1086	1731	7
saturation_refuted	1086	1832	none
saturation_refuted	1086	1898	none
saturation_refuted	1086	2644	none
saturation_refuted	1086	2710	none
saturation_refuted	1110	8	none
saturation_refuted	1110	411	none
saturation_refuted	1110	513	7
saturation_refuted	1110	1629	none
saturation_refuted	1110	1832	none
saturation_refuted	1110	3253	none
saturation_refuted	1110	3319	none
saturation_refuted	1110	3862	none
saturation_refuted	1110	3915	none
saturation_refuted	1113	2441	infinite
saturation_refuted	1113	2534	infinite
saturation_refuted	1276	411	9
saturation_refuted	1276	417	9
saturation_refuted	1276	4273	none
saturation_refuted	1276	4332	none
saturation_refuted	1279	16	7
saturation_refuted	1279	55	7
saturation_refuted	1279	72	7
saturation_refuted	1279	118	7
saturation_refuted	1279	127	7
saturation_refuted	1279	167	7
saturation_refuted	1279	179	7
saturation_refuted	1279	203	11
saturation_refuted	1279	209	7
saturation_refuted	1279	222	7
saturation_refuted	1279	228	7
saturation_refuted	1279	255	7
saturation_refuted	1279	261	7
saturation_refuted	1279	274	7
saturation_refuted	1279	315	7
saturation_refuted	1279	326	7
saturation_refuted	1279	375	7
saturation_refuted	1279	384	7
saturation_refuted	1279	411	7
saturation_refuted	1279	419	7
saturation_refuted	1279	436	7
saturation_refuted	1279	466	7
saturation_refuted	1279	474	7
saturation_refuted	1279	500	7
saturation_refuted	1279	513	7
saturation_refuted	1279	528	7
saturation_refuted	1279	575	7
saturation_refuted	1279	614	7
saturation_refuted	1279	633	7
saturation_refuted	1279	642	7
saturation_refuted	1279	669	7
saturation_refuted	1279	677	7
saturation_refuted	1279	703	7
saturation_refuted	1279	833	7
saturation_refuted	1279	845	7
saturation_refuted	1279	883	7
saturation_refuted	1279	909	7
saturation_refuted	1279	916	7
saturation_refuted	1279	1026	7
saturation_refuted	1279	1039	7
saturation_refuted	1279	1045	7
saturation_refuted	1279	1075	7
saturation_refuted	1279	1086	7
saturation_refuted	1279	1098	7
saturation_refuted	1279	1122	7
saturation_refuted	1279	1184	7
saturation_refuted	1279	1229	7
saturation_refuted	1279	1242	7
saturation_refuted	1279	1313	7
saturation_refuted	1279	1325	7
saturation_refuted	1279	1434	7
saturation_refuted	1279	1444	7
saturation_refuted	1279	1452	7
saturation_refuted	1279	1482	7
saturation_refuted	1279	1525	7
saturation_refuted	1279	1629	7
saturation_refuted	1279	1647	7
saturation_refuted	1279	1655	7
saturation_refuted	1279	1682	7
saturation_refuted	1279	1691	7
saturation_refuted	1279	1722	7
saturation_refuted	1279	1731	7
saturation_refuted	1279	1764	7
saturation_refuted	1279	1780	7
saturation_refuted	1279	1840	7
saturation_refuted	1279	1851	7
saturation_refuted	1279	1885	7
saturation_refuted	1279	1898	7
saturation_refuted	1279	1913	7
saturation_refuted	1279	1921	7
saturation_refuted	1279	1934	7
saturation_refuted	1279	1949	7
saturation_refuted	1279	2035	11
saturation_refuted	1279	2054	7
saturation_refuted	1279	2061	7
saturation_refuted	1279	2101	7
saturation_refuted	1279	2125	7
saturation_refuted	1279	2137	7
saturation_refuted	1279	2254	7
saturation_refuted	1279	2263	7
saturation_refuted	1279	2304	7
saturation_refuted	1279	2327	7
saturation_refuted	1279	2441	7
saturation_refuted	1279	2450	7
saturation_refuted	1279	2467	7
saturation_refuted	1279	2497	7
saturation_refuted	1279	2506	7
saturation_refuted	1279	2531	7
saturation_refuted	1279	2540	7
saturation_refuted	1279	2644	7
saturation_refuted	1279	2650	7
saturation_refuted	1279	2660	7
saturation_refuted	1279	2699	7
saturation_refuted	1279	2710	7
saturation_refuted	1279	2722	7
saturation_refuted	1279	2737	7
saturation_refuted	1279	2743	7
saturation_refuted	1279	2776	7
saturation_refuted	1279	2865	7
saturation_refuted	1279	2873	7
saturation_refuted	1279	2903	7
saturation_refuted	1279	2912	7
saturation_refuted	1279	2936	7
saturation_refuted	1279	3050	7
saturation_refuted	1279	3056	7
saturation_refuted	1279	3068	7
saturation_refuted	1279	3079	7
saturation_refuted	1279	3091	7
saturation_refuted	1279	3103	7
saturation_refuted	1279	3115	7
saturation_refuted	1279	3143	7
saturation_refuted	1279	3185	7
saturation_refuted	1279	3261	7
saturation_refuted	1279	3278	7
saturation_refuted	1279	3306	7
saturation_refuted	1279	3319	7
saturation_refuted	1279	3334	7
saturation_refuted	1279	3345	7
saturation_refuted	1279	3353	7
saturation_refuted	1279	3414	7
saturation_refuted	1279	3475	7
saturation_refuted	1279	3484	7
saturation_refuted	1279	3522	7
saturation_refuted	1279	3548	7
saturation_refuted	1279	3556	7
saturation_refuted	1279	3675	7
saturation_refuted	1279	3687	7
saturation_refuted	1279	3715	7
saturation_refuted	1279	3722	7
saturation_refuted	1279	3748	7
saturation_refuted	1279	3868	7
saturation_refuted	1279	3881	7
saturation_refuted	1279	3887	7
saturation_refuted	1279	3915	7
saturation_refuted	1279	3951	7
saturation_refuted	1279	3962	7
saturation_refuted	1279	3973	7
saturation_refuted	1279	4023	7
saturation_refuted	1279	4065	7
saturation_refuted	1279	4071	7
saturation_refuted	1279	4084	7
saturation_refuted	1279	4118	7
saturation_refuted	1279	4130	7
saturation_refuted	1279	4164	7
saturation_refuted	1279	4275	7
saturation_refuted	1279	4307	7
saturation_refuted	1279	4321	7
saturation_refuted	1279	4409	7
saturation_refuted	1279	4435	7
saturation_refuted	1279	4443	7
saturation_refuted	1279	4470	7
saturation_refuted	1279	4479	7
saturation_refuted	1279	4605	7
saturation_refuted	1279	4636	7
saturation_refuted	1279	4684	7
saturation_refuted	1289	3116	none
saturation_refuted	1431	1428	none
saturation_refuted	1431	4269	none
saturation_refuted	1431	4316	none
saturation_refuted	1441	4065	none
saturation_refuted	1441	4067	none
saturation_refuted	1443	23	none
saturation_refuted	1443	1629	none
saturation_refuted	1443	1630	none
saturation_refuted	1443	2441	none
saturation_refuted	1443	3050	none
saturation_refuted	1443	3055	none
saturation_refuted	1443	3522	none
saturation_refuted	1443	4065	none
saturation_refuted	1443	4067	none
saturation_refuted	1443	4118	none
saturation_refuted	1443	4268	none
saturation_refuted	1443	4282	none
saturation_refuted	1486	151	none
saturation_refuted	1486	152	none
saturation_refuted	1486	166	none
saturation_refuted	1486	167	none
saturation_refuted	1486	168	none
saturation_refuted	1486	1427	none
saturation_refuted	1486	1428	none
saturation_refuted	1486	1430	none
saturation_refuted	1486	1479	none
saturation_refuted	1486	1480	none
saturation_refuted	1486	1481	none
saturation_refuted	1486	1483	none
saturation_refuted	1486	1484	none
saturation_refuted	1486	1485	none
saturation_refuted	1486	1487	none
saturation_refuted	1486	2035	none
saturation_refuted	1486	2036	none
saturation_refuted	1486	2050	none
saturation_refuted	1486	2051	none
saturation_refuted	1486	2052	none
saturation_refuted	1486	2087	none
saturation_refuted	1486	2088	none
saturation_refuted	1486	2089	none
saturation_refuted	1486	2124	none
saturation_refuted	1486	2125	none
saturation_refuted	1486	2126	none
saturation_refuted	1486	2161	none
saturation_refuted	1486	2162	none
saturation_refuted	1486	2163	none
saturation_refuted	1486	2164	none
saturation_refuted	1486	3456	none
saturation_refuted	1486	3457	none
saturation_refuted	1486	3461	none
saturation_refuted	1486	3462	none
saturation_refuted	1486	3463	none
saturation_refuted	1486	3511	none
saturation_refuted	1486	3512	none
saturation_refuted	1486	3513	none
saturation_refuted	1486	3521	none
saturation_refuted	1486	3522	none
saturation_refuted	1486	3523	none
saturation_refuted	1486	3532	none
saturation_refuted	1486	3533	none
saturation_refuted	1486	3534	none
saturation_refuted	1486	3535	none
saturation_refuted	1486	3862	none
saturation_refuted	1486	3864	none
saturation_refuted	1486	3877	none
saturation_refuted	1486	3880	none
saturation_refuted	1486	3883	none
saturation_refuted	1486	3915	none
saturation_refuted	1486	3918	none
saturation_refuted	1486	3921	none
saturation_refuted	1486	3952	none
saturation_refuted	1486	3955	none
saturation_refuted	1486	3958	none
saturation_refuted	1486	3989	none
saturation_refuted	1486	3993	none
saturation_refuted	1486	3997	none
saturation_refuted	1486	4001	none
saturation_refuted	1486	4268	none
saturation_refuted	1486	4282	none
saturation_refuted	1486	4314	none
saturation_refuted	1486	4315	none
saturation_refuted	1486	4339	none
saturation_refuted	1486	4357	none
saturation_refuted	1486	4587	none
saturation_refuted	1486	4606	none
saturation_refuted	1486	4615	none
saturation_refuted	1486	4645	none
saturation_refuted	1486	4666	none
saturation_refuted	1486	4689	none
saturation_refuted	1487	3463	none
saturation_refuted	1487	3521	none
saturation_refuted	1487	3522	none
saturation_refuted	1487	3523	none
saturation_refuted	1487	3532	none
saturation_refuted	1487	3533	none
saturation_refuted	1487	3534	none
saturation_refuted	1487	3535	none
saturation_refuted	1487	3883	none
saturation_refuted	1487	3915	none
saturation_refuted	1487	3921	none
saturation_refuted	1487	3958	none
saturation_refuted	1487	3989	none
saturation_refuted	1487	3997	none
saturation_refuted	1487	4001	none
saturation_refuted	1487	4282	none
saturation_refuted	1487	4314	none
saturation_refuted	1487	4315	none
saturation_refuted	1487	4339	none
saturation_refuted	1487	4357	none
saturation_refuted	1487	4615	none
saturation_refuted	1487	4645	none
saturation_refuted	1487	4666	none
saturation_refuted	1487	4689	none
saturation_refuted	1515	4590	none
saturation_refuted	1515	4622	none
saturation_refuted	1519	2035	none
saturation_refuted	1519	2128	none
saturation_refuted	1523	2035	none
saturation_refuted	1523	2038	none
saturation_refuted	1523	2124	none
saturation_refuted	1523	2128	none
saturation_refuted	1523	2132	none
saturation_refuted	1594	75	9
saturation_refuted	1594	3877	9
saturation_refuted	1594	3887	9
saturation_refuted	1630	4268	none
saturation_refuted	1630	4282	none
saturation_refuted	1633	4268	none
saturation_refuted	1633	4282	none
saturation_refuted	1681	3862	none
saturation_refuted	1681	3877	none
saturation_refuted	1701	8	none
saturation_refuted	1701	1020	none
saturation_refuted	1701	1035	none
saturation_refuted	1701	1832	none
saturation_refuted	1701	3862	none
saturation_refuted	1701	4587	none
saturation_refuted	1701	4666	none
saturation_refuted	1833	3456	none
saturation_refuted	1833	3457	none
saturation_refuted	1839	23	none
saturation_refuted	1839	1629	none
saturation_refuted	1839	3050	none
saturation_refuted	1884	4587	none
saturation_refuted	1884	4666	none
saturation_refuted	1958	4587	none
saturation_refuted	1958	4666	none
saturation_refuted	2037	3253	none
saturation_refuted	2037	3258	none
saturation_refuted	2038	4270	none
saturation_refuted	2038	4341	none
saturation_refuted	2040	2050	none
saturation_refuted	2040	4584	none
saturation_refuted	2040	4631	none
saturation_refuted	2093	8	none
saturation_refuted	2093	411	none
saturation_refuted	2093	416	none
saturation_refuted	2093	1020	none
saturation_refuted	2093	1832	none
saturation_refuted	2093	1884	none
saturation_refuted	2093	3253	none
saturation_refuted	2093	3258	none
saturation_refuted	2093	3319	none
saturation_refuted	2093	3915	none
saturation_refuted	2093	4587	none
saturation_refuted	2093	4666	none
saturation_refuted	2126	151	none
saturation_refuted	2126	152	none
saturation_refuted	2126	166	none
saturation_refuted	2126	167	none
saturation_refuted	2126	168	none
saturation_refuted	2126	1426	none
saturation_refuted	2126	1427	none
saturation_refuted	2126	1428	none
saturation_refuted	2126	1429	none
saturation_refuted	2126	1430	none
saturation_refuted	2126	1478	none
saturation_refuted	2126	1479	none
saturation_refuted	2126	1480	none
saturation_refuted	2126	1481	none
saturation_refuted	2126	1482	none
saturation_refuted	2126	1483	none
saturation_refuted	2126	1484	none
saturation_refuted	2126	1485	none
saturation_refuted	2126	1486	none
saturation_refuted	2126	1487	none
saturation_refuted	2126	2050	none
saturation_refuted	2126	2051	none
saturation_refuted	2126	2052	none
saturation_refuted	2126	2087	none
saturation_refuted	2126	2088	none
saturation_refuted	2126	2089	none
saturation_refuted	2126	2161	none
saturation_refuted	2126	2162	none
saturation_refuted	2126	2163	none
saturation_refuted	2126	2164	none
saturation_refuted	2126	3456	none
saturation_refuted	2126	3457	none
saturation_refuted	2126	3461	none
saturation_refuted	2126	3462	none
saturation_refuted	2126	3463	none
saturation_refuted	2126	3511	none
saturation_refuted	2126	3512	none
saturation_refuted	2126	3513	none
saturation_refuted	2126	3521	none
saturation_refuted	2126	3522	none
saturation_refuted	2126	3523	none
saturation_refuted	2126	3532	none
saturation_refuted	2126	3533	none
saturation_refuted	2126	3534	none
saturation_refuted	2126	3535	none
saturation_refuted	2126	3862	none
saturation_refuted	2126	3864	none
saturation_refuted	2126	3877	none
saturation_refuted	2126	3880	none
saturation_refuted	2126	3883	none
saturation_refuted	2126	3915	none
saturation_refuted	2126	3918	none
saturation_refuted	2126	3921	none
saturation_refuted	2126	3952	none
saturation_refuted	2126	3955	none
saturation_refuted	2126	3958	none
saturation_refuted	2126	3989	none
saturation_refuted	2126	3993	none
saturation_refuted	2126	3997	none
saturation_refuted	2126	4001	none
saturation_refuted	2126	4268	none
saturation_refuted	2126	4282	none
saturation_refuted	2126	4314	none
saturation_refuted	2126	4315	none
saturation_refuted	2126	4339	none
saturation_refuted	2126	4357	none
saturation_refuted	2126	4587	none
saturation_refuted	2126	4606	none
saturation_refuted	2126	4615	none
saturation_refuted	2126	4645	none
saturation_refuted	2126	4666	none
saturation_refuted	2126	4689	none
saturation_refuted	2128	1426	none
saturation_refuted	2128	1519	none
saturation_refuted	2132	1426	none
saturation_refuted	2132	1429	none
saturation_refuted	2132	1515	none
saturation_refuted	2132	1519	none
saturation_refuted	2132	1523	none
saturation_refuted	2164	3463	none
saturation_refuted	2164	3521	none
saturation_refuted	2164	3522	none
saturation_refuted	2164	3523	none
saturation_refuted	2164	3532	none
saturation_refuted	2164	3533	none
saturation_refuted	2164	3534	none
saturation_refuted	2164	3535	none
saturation_refuted	2164	3883	none
saturation_refuted	2164	3921	none
saturation_refuted	2164	3958	none
saturation_refuted	2164	3989	none
saturation_refuted	2164	3997	none
saturation_refuted	2164	4001	none
saturation_refuted	2164	4282	none
saturation_refuted	2164	4314	none
saturation_refuted	2164	4315	none
saturation_refuted	2164	4339	none
saturation_refuted	2164	4357	none
saturation_refuted	2164	4615	none
saturation_refuted	2164	4645	none
saturation_refuted	2164	4666	none
saturation_refuted	2164	4689	none
saturation_refuted	2291	3050	9
saturation_refuted	2291	3112	9
saturation_refuted	2291	4588	none
saturation_refuted	2291	4647	none
saturation_refuted	2328	26	7
saturation_refuted	2328	65	7
saturation_refuted	2328	73	7
saturation_refuted	2328	99	11
saturation_refuted	2328	102	7
saturation_refuted	2328	117	7
saturation_refuted	2328	125	7
saturation_refuted	2328	160	7
saturation_refuted	2328	167	7
saturation_refuted	2328	212	7
saturation_refuted	2328	229	7
saturation_refuted	2328	255	7
saturation_refuted	2328	258	7
saturation_refuted	2328	263	7
saturation_refuted	2328	326	7
saturation_refuted	2328	335	7
saturation_refuted	2328	362	7
saturation_refuted	2328	375	7
saturation_refuted	2328	411	7
saturation_refuted	2328	429	7
saturation_refuted	2328	437	7
saturation_refuted	2328	464	7
saturation_refuted	2328	473	7
saturation_refuted	2328	504	7
saturation_refuted	2328	513	7
saturation_refuted	2328	546	7
saturation_refuted	2328	562	7
saturation_refuted	2328	614	7
saturation_refuted	2328	617	7
saturation_refuted	2328	632	7
saturation_refuted	2328	640	7
saturation_refuted	2328	679	7
saturation_refuted	2328	704	7
saturation_refuted	2328	826	7
saturation_refuted	2328	833	7
saturation_refuted	2328	872	7
saturation_refuted	2328	879	7
saturation_refuted	2328	910	7
saturation_refuted	2328	917	7
saturation_refuted	2328	949	7
saturation_refuted	2328	962	7
saturation_refuted	2328	1029	7
saturation_refuted	2328	1046	7
saturation_refuted	2328	1076	7
saturation_refuted	2328	1085	7
saturation_refuted	2328	1110	7
saturation_refuted	2328	1119	7
saturation_refuted	2328	1223	7
saturation_refuted	2328	1226	7
saturation_refuted	2328	1231	7
saturation_refuted	2328	1278	7
saturation_refuted	2328	1323	7
saturation_refuted	2328	1426	11
saturation_refuted	2328	1455	7
saturation_refuted	2328	1482	7
saturation_refuted	2328	1491	7
saturation_refuted	2328	1518	7
saturation_refuted	2328	1526	7
saturation_refuted	2328	1629	7
saturation_refuted	2328	1632	7
saturation_refuted	2328	1654	7
saturation_refuted	2328	1658	7
saturation_refuted	2328	1662	7
saturation_refuted	2328	1682	7
saturation_refuted	2328	1721	7
saturation_refuted	2328	1729	7
saturation_refuted	2328	1790	7
saturation_refuted	2328	1838	7
saturation_refuted	2328	1850	7
saturation_refuted	2328	1861	7
saturation_refuted	2328	1873	7
saturation_refuted	2328	1885	7
saturation_refuted	2328	1897	7
saturation_refuted	2328	1925	7
saturation_refuted	2328	1967	7
saturation_refuted	2328	2035	7
saturation_refuted	2328	2044	7
saturation_refuted	2328	2053	7
saturation_refuted	2328	2060	7
saturation_refuted	2328	2100	7
saturation_refuted	2328	2125	7
saturation_refuted	2328	2267	7
saturation_refuted	2328	2294	7
saturation_refuted	2328	2300	7
saturation_refuted	2328	2330	7
saturation_refuted	2328	2449	7
saturation_refuted	2328	2457	7
saturation_refuted	2328	2470	7
saturation_refuted	2328	2485	7
saturation_refuted	2328	2503	7
saturation_refuted	2328	2533	7
saturation_refuted	2328	2541	7
saturation_refuted	2328	2586	7
saturation_refuted	2328	2653	7
saturation_refuted	2328	2663	7
saturation_refuted	2328	2672	7
saturation_refuted	2328	2699	7
saturation_refuted	2328	2744	7
saturation_refuted	2328	2847	7
saturation_refuted	2328	2850	7
saturation_refuted	2328	2863	7
saturation_refuted	2328	2875	7
saturation_refuted	2328	2910	7
saturation_refuted	2328	2939	7
saturation_refuted	2328	3050	7
saturation_refuted	2328	3053	7
saturation_refuted	2328	3058	7
saturation_refuted	2328	3066	7
saturation_refuted	2328	3075	7
saturation_refuted	2328	3079	7
saturation_refuted	2328	3083	7
saturation_refuted	2328	3094	7
saturation_refuted	2328	3113	7
saturation_refuted	2328	3271	7
saturation_refuted	2328	3279	7
saturation_refuted	2328	3319	7
saturation_refuted	2328	3343	7
saturation_refuted	2328	3352	7
saturation_refuted	2328	3459	7
saturation_refuted	2328	3474	7
saturation_refuted	2328	3482	7
saturation_refuted	2328	3518	7
saturation_refuted	2328	3522	7
saturation_refuted	2328	3526	7
saturation_refuted	2328	3558	7
saturation_refuted	2328	3607	7
saturation_refuted	2328	3668	7
saturation_refuted	2328	3675	7
saturation_refuted	2328	3715	7
saturation_refuted	2328	3722	7
saturation_refuted	2328	3761	7
saturation_refuted	2328	3871	7
saturation_refuted	2328	3888	7
saturation_refuted	2328	3915	7
saturation_refuted	2328	3924	7
saturation_refuted	2328	3954	7
saturation_refuted	2328	4068	7
saturation_refuted	2328	4073	7
saturation_refuted	2328	4118	7
saturation_refuted	2328	4127	7
saturation_refuted	2328	4131	7
saturation_refuted	2328	4135	7
saturation_refuted	2328	4146	7
saturation_refuted	2328	4157	7
saturation_refuted	2328	4290	7
saturation_refuted	2328	4321	7
saturation_refuted	2328	4369	7
saturation_refuted	2328	4383	7
saturation_refuted	2328	4408	7
saturation_refuted	2328	4435	7
saturation_refuted	2328	4443	7
saturation_refuted	2328	4470	7
saturation_refuted	2328	4585	7
saturation_refuted	2328	4636	7
saturation_refuted	2328	4656	7
saturation_refuted	2338	3079	11
saturation_refuted	2338	4435	none
saturation_refuted	2467	3050	7
saturation_refuted	2497	23	none
saturation_refuted	2497	1629	none
saturation_refuted	2497	1832	none
saturation_refuted	2497	3050	none
saturation_refuted	2497	3079	7
saturation_refuted	2497	3456	none
saturation_refuted	2497	3522	none
saturation_refuted	2497	4065	none
saturation_refuted	2497	4118	none
saturation_refuted	2541	817	none
saturation_refuted	2541	917	none
saturation_refuted	2541	1629	none
saturation_refuted	2541	1729	none
saturation_refuted	2647	3456	none
saturation_refuted	2676	308	9
saturation_refuted	2676	325	9
saturation_refuted	2676	3315	9
saturation_refuted	2676	3324	9
saturation_refuted	2676	3460	9
saturation_refuted	2676	3518	9
saturation_refuted	2676	3519	9
saturation_refuted	2676	3520	9
saturation_refuted	2676	3521	9
saturation_refuted	2676	3524	9
saturation_refuted	2700	2035	11
saturation_refuted	2734	4273	none
saturation_refuted	2734	4332	none
saturation_refuted	2744	1223	none
saturation_refuted	2856	307	none
saturation_refuted	2856	2644	none
saturation_refuted	2856	3253	none
saturation_refuted	2903	99	11
saturation_refuted	2903	411	11
saturation_refuted	2903	513	7
saturation_refuted	2903	2035	11
saturation_refuted	2903	2644	11
saturation_refuted	2903	2699	7
saturation_refuted	2903	2743	7
saturation_refuted	2940	707	none
saturation_refuted	2940	1223	none
saturation_refuted	2940	2238	none
saturation_refuted	2940	2331	none
saturation_refuted	2947	411	9
saturation_refuted	2947	477	9
saturation_refuted	2947	614	none
saturation_refuted	2947	680	none
saturation_refuted	2947	1426	9
saturation_refuted	2947	1492	9
saturation_refuted	2947	1519	9
saturation_refuted	2947	1629	none
saturation_refuted	2947	1695	none
saturation_refuted	2947	1832	none
saturation_refuted	2947	1932	none
saturation_refuted	2947	2035	9
saturation_refuted	2947	2128	9
saturation_refuted	2947	2135	9
saturation_refuted	2947	3150	9
saturation_refuted	3140	614	none
saturation_refuted	3140	3056	7
saturation_refuted	3140	3068	7
saturation_refuted	3140	3079	7
saturation_refuted	3140	3091	7
saturation_refuted	3140	4608	7
saturation_refuted	3143	1629	none
saturation_refuted	3143	1722	none
saturation_refuted	3143	1832	none
saturation_refuted	3143	2644	none
saturation_refuted	3143	2737	none
saturation_refuted	3150	411	none
saturation_refuted	3150	477	none
saturation_refuted	3150	1426	none
saturation_refuted	3150	1492	none
saturation_refuted	3150	1519	none
saturation_refuted	3150	2035	none
saturation_refuted	3150	2128	none
saturation_refuted	3150	2135	none
saturation_refuted	3161	411	none
saturation_refuted	3161	414	none
saturation_refuted	3161	473	none
saturation_refuted	3161	477	none
saturation_refuted	3161	481	none
saturation_refuted	3161	1426	none
saturation_refuted	3161	1429	none
saturation_refuted	3161	1488	none
saturation_refuted	3161	1492	none
saturation_refuted	3161	1496	none
saturation_refuted	3161	1515	none
saturation_refuted	3161	1519	none
saturation_refuted	3161	1523	none
saturation_refuted	3161	2041	none
saturation_refuted	3161	2135	none
saturation_refuted	3161	2146	none
saturation_refuted	3558	4065	none
saturation_refuted	3588	3862	none
saturation_refuted	3588	3878	none
saturation_refuted	3588	3917	none
saturation_refuted	3588	3955	none
saturation_refuted	3588	3994	none
saturation_refuted	3994	3456	none
saturation_refuted	3994	3472	none
saturation_refuted	3994	3511	none
saturation_refuted	3994	3549	none
saturation_refuted	3994	3588	none
